0,0,0,0
0.15,-16.969,0,0
0.3,-17.137,0,0
0.45,-17.309,0,0
0.6,-17.468,0,0
0.75,-17.6,0,0
0.9,-17.696,0,0
1.05,-17.752,0,0
1.2,-17.768,0,0
1.35,-17.746,0,0
1.5,-17.691,0,0
1.65,-17.608,0,0
1.8,-17.5,0,0
1.95,-17.374,0,0
2.1,-17.232,0,0
2.25,-17.079,0,0
2.4,-16.917,0,0
2.55,-16.748,0,0
2.7,-16.574,0,0
2.85,-16.399,0,0
3,-16.221,0,0
3.15,-16.043,0,0
3.3,-15.866,0,0
3.45,-15.69,0,0
3.6,-15.515,0,0
3.75,-15.342,0,0
3.9,-15.171,0,0
4.05,-15.003,0,0
4.2,-14.838,0,0
4.35,-14.676,0,0
4.5,-14.517,0,0
4.65,-14.361,0,0
4.8,-14.208,0,0
4.95,-14.059,0,0
5.1,-13.913,0,0
5.25,-13.77,0,0
5.4,-13.63,0,0
5.55,-13.493,0,0
5.7,-13.36,0,0
5.85,-13.23,0,0
6,-13.103,0,0
6.15,-12.98,0,0
6.3,-12.859,0,0
6.45,-12.741,0,0
6.6,-12.626,0,0
6.75,-12.515,0,0
6.9,-12.406,0,0
7.05,-12.3,0,0
7.2,-12.197,0,0
7.35,-12.096,0,0
7.5,-11.998,0,0
7.65,-11.903,0,0
7.8,-11.811,0,0
7.95,-11.721,0,0
8.1,-11.633,0,0
8.25,-11.548,0,0
8.4,-11.466,0,0
8.55,-11.385,0,0
8.7,-11.308,0,0
8.85,-11.232,0,0
9,-11.159,0,0
9.15,-11.088,0,0
9.3,-11.019,0,0
9.45,-10.952,0,0
9.6,-10.888,0,0
9.75,-10.825,0,0
9.9,-10.765,0,0
10.05,-10.707,0,0
10.2,-10.651,0,0
10.35,-10.596,0,0
10.5,-10.544,0,0
10.65,-10.494,0,0
10.8,-10.445,0,0
10.95,-10.398,0,0
11.1,-10.354,0,0
11.25,-10.311,0,0
11.4,-10.27,0,0
11.55,-10.231,0,0
11.7,-10.193,0,0
11.85,-10.158,0,0
12,-10.124,0,0
12.15,-10.092,0,0
12.3,-10.062,0,0
12.45,-10.033,0,0
12.6,-10.006,0,0
12.75,-9.981,0,0
12.9,-9.9577,0,0
13.05,-9.936,0,0
13.2,-9.9161,0,0
13.35,-9.8979,0,0
13.5,-9.8813,0,0
13.65,-9.8665,0,0
13.8,-9.8534,0,0
13.95,-9.8421,0,0
14.1,-9.8324,0,0
14.25,-9.8244,0,0
14.4,-9.8182,0,0
14.55,-9.8137,0,0
14.7,-9.811,0,0
14.85,-9.81,0,0
15,-9.8108,0,0
